Dates,WL
6/30/1906,74.941
7/1/1906,74.941
7/2/1906,74.928
7/3/1906,74.928
7/4/1906,74.989
7/5/1906,74.959
7/6/1906,74.941
7/7/1906,74.95
7/8/1906,74.928
7/9/1906,74.95
7/10/1906,74.95
7/11/1906,74.95
7/12/1906,74.95
7/13/1906,74.95
7/14/1906,74.95
7/15/1906,74.919
7/16/1906,74.919
7/17/1906,74.928
7/18/1906,74.95
7/19/1906,74.95
7/20/1906,74.941
7/21/1906,74.941
7/22/1906,74.928
7/23/1906,74.959
7/24/1906,74.959
7/25/1906,74.941
7/26/1906,74.919
7/27/1906,74.91
7/28/1906,74.91
7/29/1906,74.88
7/30/1906,74.919
7/31/1906,74.898
8/1/1906,74.898
8/2/1906,74.88
8/3/1906,74.88
8/4/1906,74.88
8/5/1906,74.88
8/6/1906,74.898
8/7/1906,74.868
8/8/1906,74.889
8/9/1906,74.868
8/10/1906,74.858
8/11/1906,74.88
8/12/1906,74.889
8/13/1906,74.858
8/14/1906,74.88
8/15/1906,74.858
8/16/1906,74.837
8/17/1906,74.819
8/18/1906,74.828
8/19/1906,74.828
8/20/1906,74.819
8/21/1906,74.819
8/22/1906,74.828
8/23/1906,74.837
8/24/1906,74.819
8/25/1906,74.767
8/26/1906,74.767
8/27/1906,74.788
8/28/1906,74.788
8/29/1906,74.797
8/30/1906,74.797
8/31/1906,74.797
9/1/1906,74.797
9/2/1906,74.758
9/3/1906,74.797
9/4/1906,74.767
9/5/1906,74.767
9/6/1906,74.767
9/7/1906,74.767
9/8/1906,74.736
9/9/1906,74.736
9/10/1906,74.746
9/11/1906,74.736
9/12/1906,74.736
9/13/1906,74.715
9/14/1906,74.736
9/15/1906,74.727
9/16/1906,74.697
9/17/1906,74.676
9/18/1906,74.685
9/19/1906,74.676
9/20/1906,74.676
9/21/1906,74.676
9/22/1906,74.645
9/23/1906,74.676
9/24/1906,74.666
9/25/1906,74.636
9/26/1906,74.615
9/27/1906,74.645
9/28/1906,74.615
9/29/1906,74.593
9/30/1906,74.645
10/1/1906,74.618
10/2/1906,74.608
10/3/1906,74.596
10/4/1906,74.587
10/5/1906,74.596
10/6/1906,74.587
10/7/1906,74.657
10/8/1906,74.608
10/9/1906,74.618
10/10/1906,74.618
10/11/1906,74.618
10/12/1906,74.639
10/13/1906,74.608
10/14/1906,74.618
10/15/1906,74.618
10/16/1906,74.596
10/17/1906,74.587
10/18/1906,74.578
10/19/1906,74.578
10/20/1906,74.627
10/21/1906,74.639
10/22/1906,74.608
10/23/1906,74.618
10/24/1906,74.596
10/25/1906,74.587
10/26/1906,74.608
10/27/1906,74.618
10/28/1906,74.688
10/29/1906,74.669
10/30/1906,74.657
10/31/1906,74.648
11/1/1906,74.636
11/2/1906,74.636
11/3/1906,74.615
11/4/1906,74.615
11/5/1906,74.615
11/6/1906,74.615
11/7/1906,74.615
11/8/1906,74.605
11/9/1906,74.554
11/10/1906,74.575
11/11/1906,74.636
11/12/1906,74.645
11/13/1906,74.654
11/14/1906,74.654
11/15/1906,74.645
11/16/1906,74.685
11/17/1906,74.593
11/18/1906,74.624
11/19/1906,74.615
11/20/1906,74.544
11/21/1906,74.593
11/22/1906,74.736
11/23/1906,74.676
11/24/1906,74.676
11/25/1906,74.654
11/26/1906,74.615
11/27/1906,74.706
11/28/1906,74.697
11/29/1906,74.697
11/30/1906,74.645
12/1/1906,74.736
12/2/1906,74.645
12/3/1906,74.697
12/4/1906,74.666
12/5/1906,74.654
12/6/1906,74.685
12/7/1906,74.727
12/8/1906,74.654
12/9/1906,74.645
12/10/1906,74.654
12/11/1906,74.654
12/12/1906,74.697
12/13/1906,74.645
12/14/1906,74.624
12/15/1906,74.666
12/16/1906,74.706
12/17/1906,74.727
12/18/1906,74.685
12/19/1906,74.666
12/20/1906,74.645
12/21/1906,74.685
12/22/1906,74.697
12/23/1906,74.706
12/24/1906,74.697
12/25/1906,74.676
12/26/1906,74.685
12/27/1906,74.654
12/28/1906,74.645
12/29/1906,74.645
12/30/1906,74.645
12/31/1906,74.645
1/1/1907,74.706
1/2/1907,74.727
1/3/1907,74.645
1/4/1907,74.828
1/5/1907,74.828
1/6/1907,74.819
1/7/1907,74.797
1/8/1907,74.819
1/9/1907,74.989
1/10/1907,74.819
1/11/1907,74.868
1/12/1907,74.797
1/13/1907,74.828
1/14/1907,74.837
1/15/1907,74.889
1/16/1907,74.828
1/17/1907,75.063
1/18/1907,74.889
1/19/1907,74.819
1/20/1907,74.858
1/21/1907,74.95
1/22/1907,74.91
1/23/1907,74.919
1/24/1907,74.889
1/25/1907,74.88
1/26/1907,74.941
1/27/1907,74.941
1/28/1907,74.95
1/29/1907,74.959
1/30/1907,74.95
1/31/1907,74.88
2/1/1907,74.889
2/2/1907,74.919
2/3/1907,75.072
2/4/1907,74.91
2/5/1907,74.919
2/6/1907,74.889
2/7/1907,74.889
2/8/1907,74.889
2/9/1907,74.889
2/10/1907,74.919
2/11/1907,74.95
2/12/1907,74.919
2/13/1907,74.868
2/14/1907,74.91
2/15/1907,74.919
2/16/1907,74.898
2/17/1907,74.919
2/18/1907,74.889
2/19/1907,74.88
2/20/1907,74.858
2/21/1907,74.95
2/22/1907,74.898
2/23/1907,74.88
2/24/1907,74.828
2/25/1907,74.98
2/26/1907,74.858
2/27/1907,74.858
2/28/1907,74.849
3/1/1907,74.837
3/2/1907,74.919
3/3/1907,74.919
3/4/1907,74.889
3/5/1907,74.858
3/6/1907,74.88
3/7/1907,74.858
3/8/1907,74.88
3/9/1907,74.837
3/10/1907,74.88
3/11/1907,74.858
3/12/1907,74.797
3/13/1907,74.837
3/14/1907,74.88
3/15/1907,74.898
3/16/1907,74.837
3/17/1907,74.898
3/18/1907,74.898
3/19/1907,74.88
3/20/1907,74.95
3/21/1907,74.941
3/22/1907,74.898
3/23/1907,74.928
3/24/1907,74.95
3/25/1907,74.95
3/26/1907,74.941
3/27/1907,74.95
3/28/1907,74.98
3/29/1907,74.959
3/30/1907,75.011
3/31/1907,75.041
4/1/1907,75.044
4/2/1907,75.005
4/3/1907,75.005
4/4/1907,74.983
4/5/1907,75.044
4/6/1907,75.023
4/7/1907,74.953
4/8/1907,74.962
4/9/1907,75.014
4/10/1907,75.014
4/11/1907,75.044
4/12/1907,75.014
4/13/1907,75.044
4/14/1907,75.075
4/15/1907,75.035
4/16/1907,75.035
4/17/1907,75.053
4/18/1907,75.044
4/19/1907,75.044
4/20/1907,75.044
4/21/1907,75.044
4/22/1907,75.005
4/23/1907,75.005
4/24/1907,75.035
4/25/1907,75.044
4/26/1907,75.005
4/27/1907,75.035
4/28/1907,75.014
4/29/1907,75.014
4/30/1907,75.075
5/1/1907,75.041
5/2/1907,75.02
5/3/1907,75.041
5/4/1907,75.093
5/5/1907,75.081
5/6/1907,75.072
5/7/1907,75.102
5/8/1907,75.072
5/9/1907,75.093
5/10/1907,75.133
5/11/1907,75.102
5/12/1907,75.081
5/13/1907,75.081
5/14/1907,75.093
5/15/1907,75.05
5/16/1907,75.102
5/17/1907,75.102
5/18/1907,75.102
5/19/1907,75.111
5/20/1907,75.172
5/21/1907,75.124
5/22/1907,75.102
5/23/1907,75.102
5/24/1907,75.072
5/25/1907,75.081
5/26/1907,75.072
5/27/1907,75.111
5/28/1907,75.154
5/29/1907,75.102
5/30/1907,75.111
5/31/1907,75.102
6/1/1907,75.081
6/2/1907,75.081
6/3/1907,75.111
6/4/1907,75.072
6/5/1907,75.093
6/6/1907,75.133
6/7/1907,75.111
6/8/1907,75.133
6/9/1907,75.111
6/10/1907,75.124
6/11/1907,75.102
6/12/1907,75.093
6/13/1907,75.102
6/14/1907,75.102
6/15/1907,75.102
6/16/1907,75.102
6/17/1907,75.102
6/18/1907,75.102
6/19/1907,75.102
6/20/1907,75.081
6/21/1907,75.102
6/22/1907,75.093
6/23/1907,75.093
6/24/1907,75.081
6/25/1907,75.093
6/26/1907,75.093
6/27/1907,75.102
6/28/1907,75.102
6/29/1907,75.093
6/30/1907,75.133
7/1/1907,75.102
7/2/1907,75.124
7/3/1907,75.102
7/4/1907,75.102
7/5/1907,75.102
7/6/1907,75.072
7/7/1907,75.072
7/8/1907,75.072
7/9/1907,75.124
7/10/1907,75.093
7/11/1907,75.081
7/12/1907,75.133
7/13/1907,75.111
7/14/1907,75.072
7/15/1907,75.072
7/16/1907,75.081
7/17/1907,75.072
7/18/1907,75.081
7/19/1907,75.072
7/20/1907,75.081
7/21/1907,75.102
7/22/1907,75.111
7/23/1907,75.102
7/24/1907,75.102
7/25/1907,75.124
7/26/1907,75.154
7/27/1907,75.163
7/28/1907,75.133
7/29/1907,75.124
7/30/1907,75.111
7/31/1907,75.102
8/1/1907,75.093
8/2/1907,75.093
8/3/1907,75.102
8/4/1907,75.102
8/5/1907,75.072
8/6/1907,75.072
8/7/1907,75.081
8/8/1907,75.072
8/9/1907,75.041
8/10/1907,75.041
8/11/1907,75.05
8/12/1907,75.02
8/13/1907,75.063
8/14/1907,75.072
8/15/1907,75.05
8/16/1907,74.989
8/17/1907,75.041
8/18/1907,75.032
8/19/1907,75.011
8/20/1907,75.032
8/21/1907,75.032
8/22/1907,75.011
8/23/1907,74.98
8/24/1907,74.989
8/25/1907,75.02
8/26/1907,75.011
8/27/1907,74.989
8/28/1907,74.989
8/29/1907,74.98
8/30/1907,74.971
8/31/1907,74.971
9/1/1907,74.95
9/2/1907,74.928
9/3/1907,74.919
9/4/1907,74.928
9/5/1907,74.941
9/6/1907,74.928
9/7/1907,74.941
9/8/1907,74.941
9/9/1907,74.919
9/10/1907,74.889
9/11/1907,74.919
9/12/1907,74.95
9/13/1907,74.919
9/14/1907,74.928
9/15/1907,74.919
9/16/1907,74.919
9/17/1907,74.95
9/18/1907,74.91
9/19/1907,74.88
9/20/1907,74.88
9/21/1907,74.889
9/22/1907,74.898
9/23/1907,74.858
9/24/1907,74.858
9/25/1907,74.941
9/26/1907,74.91
9/27/1907,74.88
9/28/1907,74.889
9/29/1907,74.898
9/30/1907,74.928
10/1/1907,74.889
10/2/1907,74.858
10/3/1907,74.889
10/4/1907,74.889
10/5/1907,74.919
10/6/1907,74.889
10/7/1907,74.889
10/8/1907,74.95
10/9/1907,74.898
10/10/1907,74.898
10/11/1907,74.88
10/12/1907,74.919
10/13/1907,74.919
10/14/1907,74.919
10/15/1907,74.889
10/16/1907,74.889
10/17/1907,74.88
10/18/1907,74.941
10/19/1907,74.889
10/20/1907,74.889
10/21/1907,74.868
10/22/1907,74.858
10/23/1907,74.889
10/24/1907,74.849
10/25/1907,74.868
10/26/1907,74.849
10/27/1907,74.797
10/28/1907,74.889
10/29/1907,74.889
10/30/1907,74.858
10/31/1907,74.797
11/1/1907,74.797
11/2/1907,74.776
11/3/1907,74.95
11/4/1907,74.868
11/5/1907,74.837
11/6/1907,74.837
11/7/1907,74.941
11/8/1907,74.898
11/9/1907,74.889
11/10/1907,74.91
11/11/1907,74.919
11/12/1907,74.858
11/13/1907,74.919
11/14/1907,74.91
11/15/1907,74.858
11/16/1907,74.858
11/17/1907,74.858
11/18/1907,74.837
11/19/1907,74.837
11/20/1907,74.828
11/21/1907,74.788
11/22/1907,74.849
11/23/1907,74.858
11/24/1907,74.858
11/25/1907,74.858
11/26/1907,74.858
11/27/1907,74.837
11/28/1907,74.868
11/29/1907,74.858
11/30/1907,74.858
12/1/1907,74.828
12/2/1907,74.858
12/3/1907,74.858
12/4/1907,74.858
12/5/1907,74.849
12/6/1907,74.849
12/7/1907,74.819
12/8/1907,74.776
12/9/1907,74.788
12/10/1907,74.849
12/11/1907,74.88
12/12/1907,74.889
12/13/1907,74.858
12/14/1907,74.797
12/15/1907,74.828
12/16/1907,74.849
12/17/1907,74.889
12/18/1907,74.858
12/19/1907,74.88
12/20/1907,74.858
12/21/1907,74.837
12/22/1907,74.807
12/23/1907,74.837
12/24/1907,74.919
12/25/1907,74.837
12/26/1907,74.88
12/27/1907,74.858
12/28/1907,74.919
12/29/1907,74.919
12/30/1907,74.95
12/31/1907,75.032
1/1/1908,75.02
1/2/1908,75.011
1/3/1908,74.98
1/4/1908,74.95
1/5/1908,75.011
1/6/1908,74.959
1/7/1908,74.95
1/8/1908,74.95
1/9/1908,74.989
1/10/1908,74.95
1/11/1908,74.941
1/12/1908,74.959
1/13/1908,74.98
1/14/1908,74.95
1/15/1908,74.959
1/16/1908,75.011
1/17/1908,74.971
1/18/1908,75.002
1/19/1908,74.989
1/20/1908,74.95
1/21/1908,74.95
1/22/1908,75.011
1/23/1908,74.95
1/24/1908,75.002
1/25/1908,74.98
1/26/1908,74.959
1/27/1908,75.102
1/28/1908,74.989
1/29/1908,75.032
1/30/1908,75.032
1/31/1908,75.002
2/1/1908,74.989
2/2/1908,75.124
2/3/1908,75.041
2/4/1908,75.041
2/5/1908,74.989
2/6/1908,75.041
2/7/1908,75.102
2/8/1908,75.041
2/9/1908,75.041
2/10/1908,75.011
2/11/1908,75.011
2/12/1908,74.971
2/13/1908,74.989
2/14/1908,75.002
2/15/1908,75.081
2/16/1908,75.102
2/17/1908,75.124
2/18/1908,75.081
2/19/1908,75.072
2/20/1908,75.102
2/21/1908,75.102
2/22/1908,75.102
2/23/1908,75.102
2/24/1908,75.102
2/25/1908,75.02
2/26/1908,75.063
2/27/1908,75.102
2/28/1908,75.133
2/29/1908,75.102
3/1/1908,75.102
3/2/1908,75.102
3/3/1908,75.111
3/4/1908,75.102
3/5/1908,75.072
3/6/1908,75.081
3/7/1908,75.102
3/8/1908,75.102
3/9/1908,75.111
3/10/1908,75.111
3/11/1908,75.111
3/12/1908,75.102
3/13/1908,75.102
3/14/1908,75.133
3/15/1908,75.133
3/16/1908,75.264
3/17/1908,75.194
3/18/1908,75.203
3/19/1908,75.285
3/20/1908,75.224
3/21/1908,75.224
3/22/1908,75.224
3/23/1908,75.224
3/24/1908,75.264
3/25/1908,75.255
3/26/1908,75.215
3/27/1908,75.276
3/28/1908,75.306
3/29/1908,75.316
3/30/1908,75.316
3/31/1908,75.306
4/1/1908,75.276
4/2/1908,75.355
4/3/1908,75.367
4/4/1908,75.346
4/5/1908,75.316
4/6/1908,75.325
4/7/1908,75.337
4/8/1908,75.325
4/9/1908,75.386
4/10/1908,75.367
4/11/1908,75.428
4/12/1908,75.407
4/13/1908,75.407
4/14/1908,75.346
4/15/1908,75.377
4/16/1908,75.398
4/17/1908,75.337
4/18/1908,75.377
4/19/1908,75.377
4/20/1908,75.416
4/21/1908,75.428
4/22/1908,75.355
4/23/1908,75.398
4/24/1908,75.398
4/25/1908,75.398
4/26/1908,75.428
4/27/1908,75.398
4/28/1908,75.398
4/29/1908,75.407
4/30/1908,75.407
5/1/1908,75.447
5/2/1908,75.428
5/3/1908,75.428
5/4/1908,75.438
5/5/1908,75.438
5/6/1908,75.407
5/7/1908,75.407
5/8/1908,75.447
5/9/1908,75.468
5/10/1908,75.498
5/11/1908,75.498
5/12/1908,75.498
5/13/1908,75.489
5/14/1908,75.489
5/15/1908,75.489
5/16/1908,75.489
5/17/1908,75.498
5/18/1908,75.538
5/19/1908,75.559
5/20/1908,75.581
5/21/1908,75.59
5/22/1908,75.569
5/23/1908,75.581
5/24/1908,75.611
5/25/1908,75.569
5/26/1908,75.569
5/27/1908,75.569
5/28/1908,75.538
5/29/1908,75.559
5/30/1908,75.559
5/31/1908,75.59
6/1/1908,75.611
6/2/1908,75.611
6/3/1908,75.59
6/4/1908,75.59
6/5/1908,75.59
6/6/1908,75.559
6/7/1908,75.559
6/8/1908,75.55
6/9/1908,75.559
6/10/1908,75.581
6/11/1908,75.59
6/12/1908,75.55
6/13/1908,75.52
6/14/1908,75.529
6/15/1908,75.569
6/16/1908,75.59
6/17/1908,75.559
6/18/1908,75.538
6/19/1908,75.529
6/20/1908,75.55
6/21/1908,75.529
6/22/1908,75.55
6/23/1908,75.52
6/24/1908,75.569
6/25/1908,75.559
6/26/1908,75.559
6/27/1908,75.559
6/28/1908,75.559
6/29/1908,75.538
6/30/1908,75.52
7/1/1908,75.498
7/2/1908,75.508
7/3/1908,75.529
7/4/1908,75.529
7/5/1908,75.52
7/6/1908,75.498
7/7/1908,75.498
7/8/1908,75.55
7/9/1908,75.498
7/10/1908,75.498
7/11/1908,75.477
7/12/1908,75.468
7/13/1908,75.468
7/14/1908,75.468
7/15/1908,75.489
7/16/1908,75.477
7/17/1908,75.407
7/18/1908,75.459
7/19/1908,75.459
7/20/1908,75.468
7/21/1908,75.468
7/22/1908,75.468
7/23/1908,75.468
7/24/1908,75.468
7/25/1908,75.459
7/26/1908,75.459
7/27/1908,75.438
7/28/1908,75.438
7/29/1908,75.428
7/30/1908,75.438
7/31/1908,75.428
8/1/1908,75.407
8/2/1908,75.416
8/3/1908,75.386
8/4/1908,75.416
8/5/1908,75.407
8/6/1908,75.407
8/7/1908,75.438
8/8/1908,75.428
8/9/1908,75.416
8/10/1908,75.407
8/11/1908,75.386
8/12/1908,75.386
8/13/1908,75.407
8/14/1908,75.398
8/15/1908,75.386
8/16/1908,75.367
8/17/1908,75.377
8/18/1908,75.377
8/19/1908,75.377
8/20/1908,75.367
8/21/1908,75.346
8/22/1908,75.337
8/23/1908,75.346
8/24/1908,75.325
8/25/1908,75.294
8/26/1908,75.285
8/27/1908,75.255
8/28/1908,75.224
8/29/1908,75.215
8/30/1908,75.224
8/31/1908,75.215
9/1/1908,75.218
9/2/1908,75.258
9/3/1908,75.236
9/4/1908,75.218
9/5/1908,75.206
9/6/1908,75.206
9/7/1908,75.197
9/8/1908,75.197
9/9/1908,75.166
9/10/1908,75.157
9/11/1908,75.145
9/12/1908,75.136
9/13/1908,75.136
9/14/1908,75.105
9/15/1908,75.075
9/16/1908,75.075
9/17/1908,75.075
9/18/1908,75.075
9/19/1908,75.053
9/20/1908,75.044
9/21/1908,75.023
9/22/1908,75.044
9/23/1908,75.044
9/24/1908,75.053
9/25/1908,75.035
9/26/1908,75.044
9/27/1908,75.044
9/28/1908,75.014
9/29/1908,75.053
9/30/1908,75.014
10/1/1908,75.041
10/2/1908,75.041
10/3/1908,75.011
10/4/1908,75.002
10/5/1908,74.98
10/6/1908,74.95
10/7/1908,74.959
10/8/1908,74.959
10/9/1908,74.959
10/10/1908,74.919
10/11/1908,74.959
10/12/1908,74.941
10/13/1908,74.919
10/14/1908,74.898
10/15/1908,74.889
10/16/1908,74.889
10/17/1908,74.889
10/18/1908,74.889
10/19/1908,74.889
10/20/1908,74.837
10/21/1908,74.807
10/22/1908,74.797
10/23/1908,74.797
10/24/1908,74.797
10/25/1908,74.797
10/26/1908,74.849
10/27/1908,74.807
10/28/1908,74.807
10/29/1908,74.797
10/30/1908,74.837
10/31/1908,74.858
11/1/1908,74.828
11/2/1908,74.828
11/3/1908,74.797
11/4/1908,74.807
11/5/1908,74.797
11/6/1908,74.797
11/7/1908,74.819
11/8/1908,74.767
11/9/1908,74.767
11/10/1908,74.758
11/11/1908,74.758
11/12/1908,74.788
11/13/1908,74.797
11/14/1908,74.706
11/15/1908,74.788
11/16/1908,74.715
11/17/1908,74.736
11/18/1908,74.736
11/19/1908,74.666
11/20/1908,74.715
11/21/1908,74.676
11/22/1908,74.666
11/23/1908,74.654
11/24/1908,74.676
11/25/1908,74.666
11/26/1908,74.666
11/27/1908,74.706
11/28/1908,74.685
11/29/1908,74.685
11/30/1908,74.654
12/1/1908,74.706
12/2/1908,74.685
12/3/1908,74.666
12/4/1908,74.666
12/5/1908,74.676
12/6/1908,74.654
12/7/1908,74.666
12/8/1908,74.685
12/9/1908,74.697
12/10/1908,74.676
12/11/1908,74.554
12/12/1908,74.605
12/13/1908,74.654
12/14/1908,74.584
12/15/1908,74.624
12/16/1908,74.605
12/17/1908,74.575
12/18/1908,74.605
12/19/1908,74.584
12/20/1908,74.624
12/21/1908,74.636
12/22/1908,74.563
12/23/1908,74.554
12/24/1908,74.514
12/25/1908,74.554
12/26/1908,74.593
12/27/1908,74.544
12/28/1908,74.532
12/29/1908,74.554
12/30/1908,74.493
12/31/1908,74.593
1/1/1909,74.544
1/2/1909,74.532
1/3/1909,74.514
1/4/1909,74.502
1/5/1909,74.493
1/6/1909,74.532
1/7/1909,74.554
1/8/1909,74.462
1/9/1909,74.493
1/10/1909,74.493
1/11/1909,74.544
1/12/1909,74.554
1/13/1909,74.493
1/14/1909,74.471
1/15/1909,74.532
1/16/1909,74.483
1/17/1909,74.493
1/18/1909,74.514
1/19/1909,74.493
1/20/1909,74.493
1/21/1909,74.462
1/22/1909,74.483
1/23/1909,74.471
1/24/1909,74.493
1/25/1909,74.563
1/26/1909,74.502
1/27/1909,74.514
1/28/1909,74.532
1/29/1909,74.493
1/30/1909,74.544
1/31/1909,74.523
2/1/1909,74.523
2/2/1909,74.523
2/3/1909,74.493
2/4/1909,74.493
2/5/1909,74.493
2/6/1909,74.523
2/7/1909,74.493
2/8/1909,74.514
2/9/1909,74.502
2/10/1909,74.523
2/11/1909,74.554
2/12/1909,74.493
2/13/1909,74.532
2/14/1909,74.514
2/15/1909,74.593
2/16/1909,74.493
2/17/1909,74.554
2/18/1909,74.523
2/19/1909,74.483
2/20/1909,74.593
2/21/1909,74.544
2/22/1909,74.544
2/23/1909,74.532
2/24/1909,74.563
2/25/1909,74.645
2/26/1909,74.615
2/27/1909,74.666
2/28/1909,74.645
3/1/1909,74.624
3/2/1909,74.645
3/3/1909,74.615
3/4/1909,74.706
3/5/1909,74.797
3/6/1909,74.624
3/7/1909,74.666
3/8/1909,74.645
3/9/1909,74.584
3/10/1909,74.615
3/11/1909,74.715
3/12/1909,74.654
3/13/1909,74.645
3/14/1909,74.654
3/15/1909,74.676
3/16/1909,74.636
3/17/1909,74.706
3/18/1909,74.676
3/19/1909,74.636
3/20/1909,74.666
3/21/1909,74.645
3/22/1909,74.645
3/23/1909,74.645
3/24/1909,74.584
3/25/1909,74.676
3/26/1909,74.758
3/27/1909,74.676
3/28/1909,74.715
3/29/1909,74.736
3/30/1909,74.758
3/31/1909,74.776
4/1/1909,74.758
4/2/1909,74.736
4/3/1909,74.736
4/4/1909,74.736
4/5/1909,74.715
4/6/1909,74.727
4/7/1909,74.797
4/8/1909,74.807
4/9/1909,74.776
4/10/1909,74.807
4/11/1909,74.776
4/12/1909,74.746
4/13/1909,74.758
4/14/1909,74.776
4/15/1909,74.807
4/16/1909,74.788
4/17/1909,74.819
4/18/1909,74.837
4/19/1909,74.849
4/20/1909,74.868
4/21/1909,74.807
4/22/1909,74.88
4/23/1909,74.898
4/24/1909,74.919
4/25/1909,74.849
4/26/1909,74.889
4/27/1909,74.868
4/28/1909,74.91
4/29/1909,74.868
4/30/1909,74.919
5/1/1909,74.971
5/2/1909,74.971
5/3/1909,74.971
5/4/1909,75.011
5/5/1909,75.002
5/6/1909,75.032
5/7/1909,75.05
5/8/1909,75.05
5/9/1909,75.032
5/10/1909,75.093
5/11/1909,75.102
5/12/1909,75.133
5/13/1909,75.124
5/14/1909,75.124
5/15/1909,75.124
5/16/1909,75.142
5/17/1909,75.163
5/18/1909,75.172
5/19/1909,75.172
5/20/1909,75.154
5/21/1909,75.163
5/22/1909,75.163
5/23/1909,75.194
5/24/1909,75.163
5/25/1909,75.163
5/26/1909,75.172
5/27/1909,75.154
5/28/1909,75.172
5/29/1909,75.203
5/30/1909,75.185
5/31/1909,75.194
6/1/1909,75.185
6/2/1909,75.172
6/3/1909,75.163
6/4/1909,75.142
6/5/1909,75.163
6/6/1909,75.163
6/7/1909,75.194
6/8/1909,75.154
6/9/1909,75.154
6/10/1909,75.133
6/11/1909,75.185
6/12/1909,75.142
6/13/1909,75.163
6/14/1909,75.163
6/15/1909,75.185
6/16/1909,75.154
6/17/1909,75.172
6/18/1909,75.215
6/19/1909,75.163
6/20/1909,75.154
6/21/1909,75.142
6/22/1909,75.154
6/23/1909,75.163
6/24/1909,75.142
